tau_Q,g,nx,nreal,dt,block,a_hat,t_hat,Rmax_block,S_gauss,p_in,p_on,p_off,se_on,se_off,wrong_on,D_bern_empirical_h0,D_bern_empirical_0h,D_bern_Z2_0h,D_path_h0,D_path_h0_se,D_path_0h,D_path_0h_se,Achi_h,Achi_h_se,Achi_0,Achi_0_se,C_activity_h0,C_activity_0h,Dweak_h0,Dweak_0h,event_upper_h0,event_lower_h0,wrong_lower_reverse_activity,ratio_Dber_empirical_Dpath_h0,ratio_Dber_Z2_Dpath_0h,ratio_Dpath_S,ratio_Dpath_Dweak,ratio_Dpath_C,ratio_Dpath0h_C0,clips,seed,pre_g
100.0,0.005,3,1600,0.01,3,0.1,10.0,0.23398717913595182,0.027375000000000003,0.485,0.559375,0.469375,0.012411552314653273,0.012476530702057164,0.44062500000000004,0.016229308850152793,0.016285841650729105,0.007100967124365261,0.030059971895035054,2.6030559095967914e-05,0.030101699250650107,2.4659332196300757e-05,9619.202524188959,8.329595001960959,9632.535522407488,7.890952505945644,0.030210684304663307,0.03025255877388274,0.030060007888090497,0.0301016735075234,0.5917404733545892,0.34824456252613784,0.378848186058676,0.5398976721210227,0.2358992117101795,1.0980811651154356,0.999998802626547,0.9950112877911544,0.9950133301331565,0,160000,0.0
100.0,0.01,3,600,0.01,3,0.1,10.0,0.46797435827190365,0.10950000000000001,0.4866666666666667,0.6583333333333333,0.45,0.019361928087338286,0.020310096011589902,0.3416666666666667,0.08781042481758497,0.09063675877092858,0.05283460263643605,0.12062435162361763,0.00018494103088241519,0.12012341435511502,0.00016553896868740802,9649.98359292514,14.793200178268634,9609.847435168323,13.24279492492823,0.12183709425491897,0.1213303500943141,0.12062479491156426,0.12012309293960405,0.693395547117529,0.21486341012886168,0.2679103955891865,0.7279659839464134,0.43983600466303496,1.1015922522704806,0.9999963250677694,0.9900461953831243,0.9900524828432384,0,160101,0.0
100.0,0.015,3,600,0.01,3,0.1,10.0,0.7019615374078554,0.24637499999999998,0.48333333333333334,0.7383333333333333,0.52,0.017944229444876433,0.020396078054371138,0.2616666666666667,0.10007798664789205,0.10892842113552637,0.12887468695947912,0.2731852606253501,0.000455289366211203,0.27038889147321266,0.00037306222235549417,9713.323355547787,16.183440855438974,9613.774464769991,13.26378997285102,0.27731591547338114,0.27447378917222837,0.2731872193747815,0.270387406821656,0.8673691943944696,0.16482850066766933,0.1750220486246477,0.36633743130505253,0.47662715083192203,1.108818916794927,0.9999928300107307,0.9851048763610268,0.9851173486862438,0,160202,0.0
100.0,0.02,3,600,0.01,3,0.1,10.0,0.9359487165438073,0.43800000000000006,0.495,0.8266666666666667,0.4866666666666667,0.015453634356189964,0.02040515548508196,0.17333333333333334,0.24979674968657878,0.29948379313162926,0.278299061723051,0.48779073668111844,0.000788797720002164,0.4818986665592081,0.0006577122214875146,9755.935832915759,15.768827617849318,9637.88971492999,13.154091665182705,0.497650940497785,0.49162940011008316,0.48779679164578793,0.4818944857464995,0.9392076750052746,0.04430844571969823,0.10442763799061233,0.5120981824832755,0.5775053575269813,1.1136774810071195,0.9999875871166576,0.9801865062149713,0.9802071772992091,0,160303,0.0
200.0,0.005,4,600,0.01,4,0.07071067811865475,14.142135623730951,0.3245129548494196,0.052654328932550724,0.53,0.6433333333333333,0.5133333333333333,0.01955571338320149,0.02040515548508196,0.3566666666666667,0.03438043652481483,0.03536656206108442,0.04287578241285986,0.05696431465926526,7.155757275837506e-05,0.05673737649636505,6.579221384702324e-05,18228.574986995172,22.896652881140906,18155.95172680217,21.052972627358997,0.05724983156048325,0.05702174629235951,0.05696429683435992,0.056737349146256784,0.6799045798215244,0.3457372903584166,0.33585003055251456,0.6035434066127722,0.7556884907360274,1.0818543472890054,1.0000003129136377,0.9950127905456569,0.9950129588361526,0,160404,0.0
200.0,0.01,4,600,0.01,4,0.07071067811865475,14.142135623730951,0.6490259096988392,0.2106173157302029,0.5233333333333333,0.7316666666666667,0.4816666666666667,0.018089156768423247,0.02039868822942989,0.2683333333333333,0.12922228360047391,0.1398930344389036,0.12083058562638391,0.22823828850624603,0.0003124984416476641,0.22639499085687007,0.00025783733997906624,18259.07756708625,24.99428728490647,18111.554572645495,20.62620512813647,0.2305323043429781,0.2286697340281826,0.22823846958857813,0.2263944321580687,0.8086160066301951,0.1606111314939675,0.19708311042575466,0.5661726805182277,0.5337158086804783,1.083663457180393,0.999999206609068,0.9900490482526079,0.9900522770056128,0,160505,0.0
200.0,0.015,4,600,0.01,4,0.07071067811865475,14.142135623730951,0.9735388645482588,0.47388896039295647,0.49833333333333335,0.7983333333333333,0.45166666666666666,0.016380741854498032,0.02031681934132772,0.20166666666666666,0.2529955652217455,0.2912187484342007,0.22003690315237293,0.5183811363027445,0.0007996744461339694,0.5104172908961542,0.0005713780852178616,18431.33623863576,28.420355869325633,18148.07753680006,20.316363351597442,0.526215662273371,0.5181286107730724,0.5183813317116307,0.5104146807225017,0.9266555400718175,0.01691356622189945,0.09837208242079293,0.48804932800253603,0.4310921809996833,1.0938873441425907,0.9999996230402712,0.9851115682555331,0.9851169772975622,0,160606,0.0
