omega,tau_Q,g,nx,nreal,dt,burn_time,Rmax,wrong_in,sem_in,Rin,ratio_Rin_Rmax,corr_length,clip_events,seed
50,100,0.015,48,40,0.01,15,0.496361763233229,0.2984375,0.022765472249941,0.528899743396497,1.065552954666211,1.061658065429048,0,930050
100,100,0.015,48,40,0.01,15,0.701961537407855,0.253125,0.018035255271060,0.664688110452435,0.946901040913066,1.193318185985827,0,930100
200,100,0.015,48,40,0.01,15,0.992723526466458,0.1515625,0.018164950996673,1.029755063534612,1.037302971150453,0.986136447534496,0,930200
