dimension,tau_Q,eps,f_L,f_L_sem,wall_density,wall_density_sem,nreal,nx,xi_over_dx,seed
1,3000.0,8.691957180362437e-06,0.7213541666666666,0.03519292404093938,0.053385416666666664,0.004969323448511875,24,128,3.7004140224614264,11235
1,3000.0,1.2417081686232053e-05,0.7805989583333334,0.03106872762307418,0.050130208333333336,0.006093718548630592,24,128,3.7004140224614264,11236
1,3000.0,1.7383914360724874e-05,0.8662109375,0.022451089720500524,0.029947916666666668,0.004403041067787763,24,128,3.7004140224614264,11237
1,3000.0,2.4834163372464106e-05,0.9329427083333334,0.015835291365330937,0.020833333333333332,0.003953145437068862,24,128,3.7004140224614264,11238
1,3000.0,3.476782872144975e-05,0.9778645833333334,0.007948135693223064,0.009114583333333334,0.0028084503520861555,24,128,3.7004140224614264,11239
1,3000.0,4.966832674492821e-05,1.0,0.0,0.0,0.0,24,128,3.7004140224614264,11240
1,6000.0,6.702415228768616e-06,0.744140625,0.03859620350449473,0.026692708333333332,0.003817975243749106,24,128,4.400558683966967,11335
1,6000.0,9.57487889824088e-06,0.8225911458333334,0.030434324657293496,0.020833333333333332,0.0022388722750549357,24,128,4.400558683966967,11336
1,6000.0,1.3404830457537231e-05,0.9111328125,0.024940541644764867,0.011067708333333334,0.0027386849228796975,24,128,4.400558683966967,11337
1,6000.0,1.914975779648176e-05,0.9573567708333334,0.013506940290690763,0.0078125,0.002103054304914709,24,128,4.400558683966967,11338
1,6000.0,2.6809660915074463e-05,0.9996744791666666,0.00032552083333333337,0.0006510416666666666,0.0006510416666666667,24,128,4.400558683966967,11339
1,6000.0,3.829951559296352e-05,1.0,0.0,0.0,0.0,24,128,4.400558683966967,11340
1,12000.0,5.168268661093e-06,0.7906901041666666,0.04491136151848241,0.01171875,0.0016955365864891236,24,128,5.233175696960528,11435
1,12000.0,7.383240944418572e-06,0.8684895833333334,0.03345333006588404,0.0078125,0.001881028954465144,24,128,5.233175696960528,11436
1,12000.0,1.0336537322186e-05,0.8955078125,0.03112880036723665,0.007161458333333333,0.0018761240466265323,24,128,5.233175696960528,11437
1,12000.0,1.4766481888837143e-05,0.9811197916666666,0.011255925696746822,0.001953125,0.0010774946960300205,24,128,5.233175696960528,11438
1,12000.0,2.0673074644372e-05,1.0,0.0,0.0,0.0,24,128,5.233175696960528,11439
1,12000.0,2.9532963777674287e-05,1.0,0.0,0.0,0.0,24,128,5.233175696960528,11440
1,24000.0,3.985279938877113e-06,0.7376302083333334,0.04987147670460836,0.01171875,0.0016955365864891236,24,128,6.223329772884783,11535
1,24000.0,5.693257055538734e-06,0.8538411458333334,0.03884244848315043,0.0078125,0.001881028954465144,24,128,6.223329772884783,11536
1,24000.0,7.970559877754227e-06,0.9384765625,0.019436548603057463,0.005208333333333333,0.0015358537099468455,24,128,6.223329772884783,11537
1,24000.0,1.1386514111077468e-05,0.9583333333333334,0.020902215722116663,0.0026041666666666665,0.0012141989690629088,24,128,6.223329772884783,11538
1,24000.0,1.5941119755508453e-05,0.9931640625,0.006835937500000001,0.0006510416666666666,0.0006510416666666667,24,128,6.223329772884783,11539
1,24000.0,2.2773028222154936e-05,1.0,0.0,0.0,0.0,24,128,6.223329772884783,11540
1,48000.0,3.073070932008691e-06,0.7630208333333334,0.046447673508566545,0.009765625,0.001577290728686032,24,128,7.400828044922853,11635
1,48000.0,4.390101331440987e-06,0.7545572916666666,0.052327432687672495,0.009114583333333334,0.0016062342571457324,24,128,7.400828044922853,11636
1,48000.0,6.146141864017382e-06,0.92578125,0.027266810750866167,0.004557291666666667,0.0014808748142581896,24,128,7.400828044922853,11637
1,48000.0,8.780202662881974e-06,0.9593098958333334,0.028219271224534163,0.0013020833333333333,0.0009004740557397457,24,128,7.400828044922853,11638
1,48000.0,1.2292283728034763e-05,1.0,0.0,0.0,0.0,24,128,7.400828044922853,11639
1,48000.0,1.7560405325763948e-05,1.0,0.0,0.0,0.0,24,128,7.400828044922853,11640
