tau_Q,g,nx,nreal,dt,block,a_hat,t_hat,Rmax_block,S_gauss,p_in,p_on,p_off,se_on,se_off,wrong_on,D_bern_empirical_h0,D_bern_empirical_0h,D_bern_Z2_0h,D_path_h0,D_path_h0_se,D_path_0h,D_path_0h_se,Achi_h,Achi_h_se,Achi_0,Achi_0_se,C_activity_h0,C_activity_0h,Dweak_h0,Dweak_0h,event_upper_h0,event_lower_h0,wrong_lower_reverse_activity,ratio_Dber_empirical_Dpath_h0,ratio_Dber_Z2_Dpath_0h,ratio_Dpath_S,ratio_Dpath_Dweak,ratio_Dpath_C,ratio_Dpath0h_C0,clips,seed,pre_g
100.0,0.015,3,500,0.02,3,0.1,10.0,0.7019615374078554,0.24637499999999998,0.528,0.768,0.496,0.018877287940803362,0.022359964221796064,0.23199999999999998,0.15578557936669427,0.17416475580246832,0.1693445460152007,0.27534044672556784,0.0005023712374615617,0.27281638719545115,0.0004138113432802799,9789.923152901567,17.85631106359657,9700.084792543992,14.71262413621085,0.2795028438964019,0.2769379537722655,0.2753415886753566,0.27281488479029975,0.8495827441019503,0.14399088107331295,0.17393173043222154,0.5657925714123866,0.6207271775572588,1.1175665011692253,0.9999958526069591,0.9851078539566601,0.9851173646635534,0,170000,0.0
100.0,0.015,3,500,0.01,3,0.1,10.0,0.7019615374078554,0.24637499999999998,0.518,0.774,0.518,0.01870422412183943,0.022346185356789647,0.22599999999999998,0.1396613327097098,0.15704413829408115,0.1785546619911853,0.273113484399095,0.00046380612852233414,0.2699847883024729,0.00039977539533138276,9710.761695955847,16.48587924094032,9599.42867390399,14.215077911852823,0.27724277995128777,0.27406421605481307,0.2731151726987582,0.2699839314535497,0.865777860678831,0.16320227520117095,0.17520414958424452,0.5113674010530568,0.6613508231846922,1.108527587616824,0.9999938183600475,0.9851058499957391,0.985115066056182,0,170101,0.0
100.0,0.015,3,500,0.005,3,0.1,10.0,0.7019615374078554,0.24637499999999998,0.492,0.764,0.514,0.018989681408596616,0.022351912669836556,0.236,0.132326286861003,0.14735404878555675,0.16340830132612644,0.27213610827295565,0.0004585126264860004,0.26898754193092267,0.0004038441398521888,9676.013612823344,16.297805061465546,9563.960188022085,14.35906730464802,0.2762507202687146,0.27305158883416386,0.27213788286065654,0.26898638028812116,0.8621071252715902,0.16045448208242322,0.1756554561648978,0.4862503829454275,0.6074939387642365,1.1045605612296525,0.9999934790861079,0.9851055157729305,0.9851161939009647,0,170202,0.0
