switch_off_at_incoming,tau_Q,g,omega,nx,nreal,dt,burn_time,Rmax,wrong_in,Rin,wrong_out,Rout,seed
0,100,0.015,100,56,48,0.01,10,0.701961537407855,0.230324074074074,0.737780000929956,0.039351851851852,1.758257510820966,970015
1,100,0.015,100,56,48,0.01,10,0.701961537407855,0.230324074074074,0.737780000929956,0.432870370370370,0.169071069197609,970015
