dimension,tau_Q,eps,f_L,f_L_sem,wall_density,wall_density_sem,nreal,nx,seed
2,3000.0,4.564354645876384e-07,0.4918212890625,0.08238485249928504,0.1622314453125,0.01370352371115479,8,32,22100
2,3000.0,9.128709291752768e-07,0.6500244140625,0.10565426571791538,0.1488037109375,0.02804047584016051,8,32,22101
2,3000.0,1.8257418583505536e-06,0.75,0.034702828455891115,0.1676025390625,0.016464501076593942,8,32,22102
2,3000.0,3.6514837167011073e-06,0.9351806640625,0.03930715511496418,0.05078125,0.018409100474883713,8,32,22103
2,3000.0,7.3029674334022146e-06,0.992919921875,0.003935567645505274,0.0078125,0.003818061435101565,8,32,22104
2,6000.0,3.227486121839514e-07,0.7918701171875,0.12356071703142868,0.0377197265625,0.01408894489531578,8,32,22200
2,6000.0,6.454972243679028e-07,0.44384765625,0.1435362986658267,0.0504150390625,0.017160386832764895,8,32,22201
2,6000.0,1.2909944487358056e-06,0.9730224609375,0.013004028738807193,0.0181884765625,0.005100936794528179,8,32,22202
2,6000.0,2.5819888974716113e-06,0.855224609375,0.10264492668381088,0.0263671875,0.016610792142897242,8,32,22203
2,6000.0,5.163977794943223e-06,1.0,0.0,0.0,0.0,8,32,22204
2,12000.0,2.282177322938192e-07,0.365478515625,0.17852881127392836,0.0029296875,0.0029296874999999996,8,32,22300
2,12000.0,4.564354645876384e-07,0.625,0.18298126367784995,0.0,0.0,8,32,22301
2,12000.0,9.128709291752768e-07,0.75,0.16366341767699427,0.0,0.0,8,32,22302
2,12000.0,1.8257418583505536e-06,1.0,0.0,0.0,0.0,8,32,22303
2,12000.0,3.6514837167011073e-06,1.0,0.0,0.0,0.0,8,32,22304
