tau_Q,g,nreal,nboot,bootstrap_seed,p_on_lo,p_on_hi,q_lo,q_hi,D_bern_empirical_0h_lo,D_bern_empirical_0h_hi,D_bern_Z2_0h_lo,D_bern_Z2_0h_hi,D_path_0h_lo,D_path_0h_hi,C_activity_0h_lo,C_activity_0h_hi,qmin_lo,qmin_hi,ratio_Z2_Dpath_lo,ratio_Z2_Dpath_hi,ratio_Dpath_C_lo,ratio_Dpath_C_hi
100.0,0.005,1600,20000,171717,0.535,0.58375,0.41625,0.46499999999999997,0.006360579754655732,0.03092120591767153,0.0024560221805103866,0.014228673283311441,0.030053145248691297,0.030150214729950973,0.030203760414951555,0.030301318111432288,0.37875351875112406,0.37894301250058393,0.08162855205586199,0.472931927187196,0.9950130361359905,0.9950136213125405
100.0,0.01,600,20000,171717,0.62,0.6966666666666667,0.30333333333333334,0.38,0.050167338474573275,0.1441885480778771,0.029662733042407463,0.08403841485542518,0.11980711066097897,0.12045148016367037,0.12101088427529166,0.1216616165366712,0.26763070999249194,0.2681806135170771,0.2469222685439211,0.6989837136304562,0.9900515602254616,0.9900534037646236
100.0,0.015,600,20000,171717,0.7033333333333334,0.7733333333333333,0.22666666666666668,0.29666666666666663,0.06124093566595151,0.17334593977771443,0.09038804249215263,0.17751275567504735,0.269655009715337,0.27111608740239956,0.27372869286831286,0.2752116918480877,0.1746946015434811,0.17535351447189898,0.33397659374697514,0.6566611105224976,0.9851159352129076,0.9851187439938992
100.0,0.02,600,20000,171717,0.7966666666666666,0.8566666666666667,0.1433333333333333,0.20333333333333337,0.21701461197916083,0.40034541798352974,0.21696658604384472,0.3554971938018647,0.48061292307647263,0.4831825683552529,0.4903177608388075,0.49293986745107604,0.10411833961435356,0.10473826908236052,0.4496706432803752,0.7370277692198022,0.9802052415334527,0.9802091142791377
200.0,0.005,600,20000,171717,0.605,0.6816666666666666,0.31833333333333336,0.395,0.011501737352818384,0.07158608838563288,0.022550986956210037,0.07078818261148523,0.05660882452883974,0.056867468443481485,0.05689256900903014,0.05715248199817954,0.3356724998802186,0.33602567944380246,0.3971993437547832,1.2460845465524275,0.995012457369224,0.9950134566157149
200.0,0.01,600,20000,171717,0.695,0.7666666666666667,0.23333333333333328,0.30500000000000005,0.08806353892156224,0.20629429988831927,0.08249628733608985,0.16734801860997867,0.22589468393388934,0.22690252441520317,0.22816451294034845,0.22918232970961389,0.19681558988956221,0.19734728245336874,0.3646546727294676,0.7399458623629694,0.9900513604932912,0.990053205016042
200.0,0.015,600,20000,171717,0.7666666666666667,0.83,0.17000000000000004,0.23333333333333328,0.20693194235029375,0.3945814130688947,0.16734801860997867,0.285996029501739,0.5092888749638858,0.5115203652804938,0.5169832955347519,0.5192482947151911,0.09812516535324295,0.09862538221253703,0.3273743383584301,0.5601950878631854,0.9851155231244738,0.9851184179869734
